n,a,e
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.1247009189263104,-0.1608669502792032
6.0,0.0,0.0
7.0,0.0,0.0
8.0,0.0,0.0
9.0,0.0,0.0
10.0,0.0,0.0
11.0,0.0,0.0
12.0,0.0,0.0
13.0,0.0,0.0
14.0,0.0,0.0
15.0,0.0,0.0
16.0,-0.3952243541098402,0.1846328724317174
17.0,-0.0221377525589117,-0.112010713822675
18.0,0.0,0.0
19.0,0.0,0.0
20.0,0.017041222670965,-0.00830548004041
21.0,0.0,0.0
22.0,-0.0221377525589117,-0.112010713822675
23.0,0.0,0.0
24.0,0.0,0.0
25.0,0.0,0.0
26.0,0.0,0.0
27.0,0.0,0.0
28.0,-0.0214103584228594,0.2184072040772908
29.0,0.0,0.0
30.0,0.0,0.0
31.0,0.0,0.0
32.0,0.0,0.0
33.0,0.0,0.0
34.0,0.0,0.0
35.0,0.0,0.0
36.0,0.0,0.0
37.0,0.0,0.0
38.0,0.0,0.0
39.0,0.0,0.0
40.0,0.0,0.0
41.0,0.0,0.0
42.0,0.0,0.0
43.0,0.0,0.0
44.0,0.0892747968067829,-0.1145906922623364
45.0,0.0,0.0
46.0,0.1247009189263104,-0.1608669502792032
47.0,0.0,0.0
48.0,0.0,0.0
49.0,0.0,0.0
50.0,0.0,0.0
51.0,0.0,0.0
52.0,0.0,0.0
53.0,0.0,0.0
54.0,0.0,0.0
55.0,0.0,0.0
56.0,0.0,0.0
57.0,0.0,0.0
58.0,0.0,0.0
59.0,0.0,0.0
60.0,0.0,0.0
61.0,0.0,0.0
62.0,0.0,0.0
63.0,0.0,0.0
64.0,0.0,0.0
65.0,0.0,0.0
66.0,0.0,0.0
67.0,0.0,0.0
68.0,0.0,0.0
69.0,0.0,0.0
70.0,0.0,0.0
71.0,0.0,0.0
72.0,0.0,0.0
73.0,0.0,0.0
74.0,-0.1289056099464036,-0.1710434739225598
75.0,0.0,0.0
76.0,0.0,0.0
77.0,0.0,0.0
78.0,-0.1289056099464036,-0.1710434739225598
79.0,-0.1289056099464036,-0.1710434739225598
80.0,0.0,0.0
81.0,0.0,0.0
82.0,0.0,0.0
83.0,0.0,0.0
84.0,0.0,0.0
85.0,0.0,0.0
86.0,0.0,0.0
87.0,0.0,0.0
88.0,0.0,0.0
89.0,0.0,0.0
90.0,0.0,0.0
91.0,0.0,0.0
92.0,0.0,0.0
93.0,0.0,0.0
94.0,0.0,0.0
95.0,0.0,0.0
96.0,0.0,0.0
97.0,0.0,0.0
98.0,0.0,0.0
99.0,0.0,0.0
100.0,0.0,0.0
101.0,0.0,0.0
102.0,-0.0214103584228594,0.2184072040772908
103.0,-0.095921149647337,0.0053824443044758
104.0,0.0,0.0
105.0,-0.057651435294602,-0.1757053645253017
106.0,0.0,0.0
107.0,0.0,0.0
108.0,0.0796635695944905,0.0304081149691224
109.0,-0.0221377525589117,-0.112010713822675
110.0,0.0,0.0
111.0,-0.0214103584228594,0.2184072040772908
112.0,0.0,0.0
113.0,0.0,0.0
114.0,0.0,0.0
115.0,0.0,0.0
116.0,0.0,0.0
117.0,0.0,0.0
118.0,-0.0214103584228594,0.2184072040772908
119.0,-0.0221377525589117,-0.112010713822675
120.0,-0.0221377525589117,-0.112010713822675
121.0,0.0,0.0
122.0,0.0,0.0
123.0,0.0,0.0
124.0,0.0,0.0
125.0,0.0,0.0
126.0,0.0,0.0
127.0,0.0,0.0
128.0,0.0,0.0
129.0,0.017041222670965,-0.00830548004041
130.0,0.0,0.0
131.0,0.0,0.0
132.0,0.017041222670965,-0.00830548004041
133.0,0.017041222670965,-0.00830548004041
134.0,0.017041222670965,-0.00830548004041
135.0,-0.0221377525589117,-0.112010713822675
136.0,0.0,0.0
137.0,-0.3952243541098402,0.1846328724317174
138.0,-0.0221377525589117,-0.112010713822675
139.0,0.0,0.0
140.0,0.0,0.0
141.0,0.0,0.0
142.0,0.0,0.0
143.0,-0.0214103584228594,0.2184072040772908
144.0,-0.0112963002870074,0.0326502623227228
145.0,-0.0214103584228594,0.2184072040772908
146.0,0.0,0.0
147.0,0.0,0.0
148.0,-0.0112963002870074,0.0326502623227228
149.0,0.0,0.0
150.0,0.0,0.0
151.0,-0.095921149647337,0.0053824443044758
152.0,0.0,0.0
153.0,0.0,0.0
154.0,0.0,0.0
155.0,0.0,0.0
156.0,-0.0214103584228594,0.2184072040772908
157.0,-0.0214103584228594,0.2184072040772908
158.0,-0.057651435294602,-0.1757053645253017
159.0,-0.095921149647337,0.0053824443044758
160.0,0.0,0.0
161.0,0.017041222670965,-0.00830548004041
162.0,0.0,0.0
163.0,0.0,0.0
164.0,-0.070180946776651,0.0205077889694529
165.0,-0.070180946776651,0.0205077889694529
166.0,0.0,0.0
167.0,0.0,0.0
168.0,-0.070180946776651,0.0205077889694529
169.0,-0.070180946776651,0.0205077889694529
170.0,0.0,0.0
171.0,0.1247009189263104,-0.1608669502792032
172.0,0.0,0.0
173.0,0.0,0.0
174.0,0.1247009189263104,-0.1608669502792032
175.0,0.1247009189263104,-0.1608669502792032
176.0,0.0,0.0
177.0,0.0,0.0
178.0,0.0,0.0
179.0,0.0,0.0
180.0,0.0,0.0
181.0,0.0,0.0
182.0,0.0,0.0
183.0,0.0,0.0
184.0,0.0,0.0
185.0,0.0,0.0
186.0,0.0,0.0
187.0,0.0,0.0
188.0,0.0,0.0
189.0,0.1247009189263104,-0.1608669502792032
190.0,0.0,0.0
191.0,0.0457407965507971,-0.0817398851138836
192.0,0.1247009189263104,-0.1608669502792032
193.0,0.0,0.0
194.0,0.0,0.0
195.0,0.0457407965507971,-0.0817398851138836
196.0,0.0,0.0
197.0,0.0,0.0
198.0,-0.070180946776651,0.0205077889694529
199.0,0.0,0.0
200.0,0.0,0.0
201.0,0.0,0.0
202.0,0.0,0.0
203.0,0.0,0.0
204.0,0.0,0.0
205.0,0.0,0.0
206.0,0.0,0.0
207.0,0.0,0.0
208.0,-0.0713318122520587,0.0522449356243548
209.0,-0.0713318122520587,0.0522449356243548
210.0,-0.070180946776651,0.0205077889694529
211.0,-0.070180946776651,0.0205077889694529
212.0,-0.070180946776651,0.0205077889694529
213.0,-0.070180946776651,0.0205077889694529
214.0,-0.070180946776651,0.0205077889694529
215.0,-0.070180946776651,0.0205077889694529
216.0,-0.070180946776651,0.0205077889694529
217.0,0.0,0.0
218.0,0.0,0.0
219.0,0.0,0.0
220.0,-0.070180946776651,0.0205077889694529
221.0,-0.070180946776651,0.0205077889694529
222.0,0.0,0.0
223.0,0.0,0.0
224.0,0.0,0.0
225.0,0.0,0.0
226.0,0.0,0.0
227.0,0.0,0.0
228.0,0.0,0.0
229.0,0.0,0.0
230.0,0.0,0.0
231.0,-0.1289056099464036,-0.1710434739225598
232.0,0.0,0.0
233.0,0.0,0.0
234.0,0.0,0.0
235.0,-0.1289056099464036,-0.1710434739225598
236.0,-0.1289056099464036,-0.1710434739225598
237.0,-0.1289056099464036,-0.1710434739225598
238.0,0.0,0.0
239.0,0.0,0.0
240.0,0.0,0.0
241.0,0.0,0.0
242.0,0.0,0.0
243.0,0.0,0.0
244.0,0.0,0.0
245.0,0.0,0.0
246.0,0.0,0.0
247.0,0.0,0.0
248.0,0.0,0.0
249.0,0.0,0.0
250.0,0.0,0.0
251.0,0.0,0.0
252.0,0.0,0.0
253.0,0.0,0.0
254.0,0.0,0.0
255.0,0.0,0.0
256.0,0.0,0.0
257.0,0.0,0.0
258.0,0.0,0.0
259.0,0.0,0.0
260.0,0.0,0.0
261.0,0.0,0.0
262.0,0.0,0.0
263.0,0.0,0.0
264.0,0.0,0.0
265.0,-0.1289056099464036,-0.1710434739225598
266.0,0.0,0.0
267.0,-0.1289056099464036,-0.1710434739225598
268.0,0.0,0.0
269.0,0.0,0.0
270.0,0.0,0.0
271.0,0.0,0.0
272.0,0.0,0.0
273.0,0.0,0.0
274.0,0.0,0.0
275.0,0.0,0.0
276.0,0.0,0.0
277.0,0.0,0.0
278.0,0.0,0.0
279.0,0.0,0.0
280.0,0.0,0.0
281.0,0.0,0.0
282.0,0.0,0.0
283.0,0.0,0.0
284.0,0.0,0.0
285.0,0.0,0.0
286.0,0.0,0.0
287.0,0.0,0.0
288.0,0.0,0.0
289.0,0.0,0.0
290.0,0.0,0.0
291.0,0.0,0.0
292.0,0.0,0.0
293.0,0.0,0.0
294.0,0.0,0.0
295.0,0.0,0.0
296.0,0.0,0.0
297.0,0.0,0.0
298.0,0.0,0.0
299.0,0.0,0.0
300.0,0.0,0.0
301.0,0.0,0.0
302.0,0.0,0.0
303.0,0.0,0.0
304.0,0.0,0.0
305.0,0.0,0.0
306.0,0.0,0.0
307.0,0.0,0.0
308.0,0.0,0.0
309.0,0.0,0.0
310.0,0.0,0.0
311.0,0.0,0.0
312.0,0.0,0.0
313.0,0.0,0.0
314.0,0.0,0.0
315.0,0.0,0.0
316.0,0.0,0.0
317.0,0.0,0.0
318.0,0.0,0.0
319.0,0.0,0.0
320.0,0.0,0.0
321.0,0.0,0.0
322.0,0.0,0.0
323.0,0.0,0.0
324.0,0.0,0.0
325.0,0.0,0.0
326.0,0.0,0.0
327.0,0.0,0.0
328.0,0.0,0.0
329.0,0.0,0.0
330.0,0.0,0.0
331.0,0.0,0.0
332.0,0.0,0.0
333.0,0.0,0.0
334.0,0.0,0.0
335.0,0.0,0.0
336.0,0.0,0.0
337.0,0.0,0.0
338.0,0.0,0.0
339.0,0.0,0.0
340.0,0.0,0.0
341.0,0.0,0.0
342.0,0.0,0.0
343.0,0.0,0.0
344.0,0.0,0.0
345.0,0.0,0.0
346.0,0.0,0.0
347.0,0.0,0.0
348.0,0.0199047559151909,-0.0397808039334417
349.0,0.0,0.0
350.0,-0.0117520992989519,0.0378229901043628
351.0,0.1412815823387778,0.0223210679885601
352.0,0.0095487191715754,0.0591117628453141
353.0,0.0833017664264121,-0.0290958258119309
354.0,0.0,0.0
355.0,0.0,0.0
356.0,0.023836799956079,0.0181407237584443
357.0,-0.0216827762615956,-0.1131118918735985
358.0,-0.1857460496648383,0.194135151987318
359.0,0.0199047559151909,-0.0397808039334417
360.0,-0.1857460496648383,0.194135151987318
361.0,0.0,0.0
362.0,0.0331347609007154,0.0993695577249121
363.0,0.0,0.0
364.0,-0.0214103584228594,0.2184072040772908
365.0,0.0833017664264121,-0.0290958258119309
366.0,0.0,0.0
367.0,0.020885836407246,0.1624930758973584
368.0,0.0,0.0
369.0,-0.0214103584228594,0.2184072040772908
370.0,0.0,0.0
371.0,0.0,0.0
372.0,0.0,0.0
373.0,0.0833017664264121,-0.0290958258119309
374.0,0.0,0.0
375.0,0.0,0.0
376.0,0.0,0.0
377.0,0.0,0.0
378.0,0.0,0.0
379.0,0.0,0.0
380.0,0.0,0.0
381.0,0.0,0.0
382.0,0.0,0.0
383.0,-0.0214103584228594,0.2184072040772908
384.0,0.0111063609007031,-0.1034754632951281
385.0,0.0,0.0
386.0,-0.0117520992989519,0.0378229901043628
387.0,0.0833017664264121,-0.0290958258119309
388.0,0.0111063609007031,-0.1034754632951281
389.0,0.0111063609007031,-0.1034754632951281
390.0,0.0833017664264121,-0.0290958258119309
391.0,0.0,0.0
392.0,0.0,0.0
393.0,0.0,0.0
394.0,0.0,0.0
395.0,0.0,0.0
396.0,-0.1857460496648383,0.194135151987318
397.0,0.0,0.0
398.0,0.0,0.0
399.0,0.0,0.0
400.0,0.0,0.0
401.0,0.0,0.0
402.0,0.0,0.0
403.0,0.023836799956079,0.0181407237584443
404.0,0.0,0.0
405.0,0.0,0.0
406.0,0.023836799956079,0.0181407237584443
407.0,0.0,0.0
408.0,0.0,0.0
409.0,0.0,0.0
410.0,0.0,0.0
411.0,0.0199047559151909,-0.0397808039334417
412.0,0.0,0.0
413.0,0.0833017664264121,-0.0290958258119309
414.0,0.0,0.0
415.0,0.0,0.0
416.0,0.0199047559151909,-0.0397808039334417
417.0,0.0,0.0
418.0,0.0,0.0
419.0,-0.0216827762615956,-0.1131118918735985
420.0,-0.0216827762615956,-0.1131118918735985
421.0,0.0,0.0
422.0,-0.0117520992989519,0.0378229901043628
423.0,0.0111063609007031,-0.1034754632951281
424.0,0.0095487191715754,0.0591117628453141
425.0,0.0111063609007031,-0.1034754632951281
426.0,0.0331347609007154,0.0993695577249121
427.0,0.0,0.0
428.0,-0.1857460496648383,0.194135151987318
429.0,0.020885836407246,0.1624930758973584
430.0,-0.1857460496648383,0.194135151987318
431.0,0.023836799956079,0.0181407237584443
432.0,0.020885836407246,0.1624930758973584
433.0,0.020885836407246,0.1624930758973584
434.0,-0.0216827762615956,-0.1131118918735985
435.0,-0.0216827762615956,-0.1131118918735985
436.0,0.0199047559151909,-0.0397808039334417
437.0,0.0199047559151909,-0.0397808039334417
438.0,0.0,0.0
439.0,0.0,0.0
440.0,0.023836799956079,0.0181407237584443
441.0,0.1412815823387778,0.0223210679885601
442.0,0.0095487191715754,0.0591117628453141
443.0,0.0095487191715754,0.0591117628453141
444.0,0.0,0.0
445.0,0.1412815823387778,0.0223210679885601
446.0,0.1412815823387778,0.0223210679885601
447.0,0.0833017664264121,-0.0290958258119309
448.0,0.0199047559151909,-0.0397808039334417
449.0,0.0095487191715754,0.0591117628453141
450.0,0.0331347609007154,0.0993695577249121
451.0,0.0,0.0
452.0,0.1412815823387778,0.0223210679885601
453.0,0.0,0.0
454.0,-0.1857460496648383,0.194135151987318
455.0,-0.1857460496648383,0.194135151987318
456.0,-0.0216827762615956,-0.1131118918735985
457.0,0.0,0.0
458.0,0.0,0.0
459.0,-0.2138637131976434,0.1297147014281698
460.0,0.017041222670965,-0.00830548004041
461.0,0.0,0.0
462.0,-0.0293095345141699,0.0928310513185668
463.0,0.0,0.0
464.0,0.0821932482895659,-0.0140351661201356
465.0,0.0,0.0
466.0,0.0,0.0
467.0,0.0,0.0
468.0,0.0892747968067829,-0.1145906922623364
469.0,0.0,0.0
470.0,0.0,0.0
471.0,0.0,0.0
472.0,0.1866646210429896,0.0867574933939563
473.0,0.0,0.0
474.0,0.0,0.0
475.0,0.2788124529633959,-0.0229744333562477
476.0,0.1247009189263104,-0.1608669502792032
477.0,0.0,0.0
478.0,-0.0221377525589117,-0.112010713822675
479.0,0.0,0.0
480.0,0.1450843882189731,0.1467445679063084
481.0,0.1044619381194958,-0.0534504333991738
482.0,-0.1289056099464036,-0.1710434739225598
483.0,0.0,0.0
484.0,-0.1289056099464036,-0.1710434739225598
485.0,-0.0221377525589117,-0.112010713822675
486.0,0.0,0.0
