n,a,e
205.0,0.0023192203641079,0.2037069605441438
206.0,0.0,0.0
207.0,0.0,0.0
208.0,0.0023192203641079,0.2037069605441438
209.0,0.0,0.0
210.0,0.0,0.0
211.0,0.0,0.0
212.0,0.0,0.0
213.0,0.0,0.0
214.0,0.0,0.0
215.0,-0.0060803943720692,-0.0125453001418984
216.0,-0.0060803943720692,-0.0125453001418984
217.0,-0.0060803943720692,-0.0125453001418984
218.0,0.0,0.0
219.0,-0.0060803943720692,-0.0125453001418984
220.0,-0.0060803943720692,-0.0125453001418984
221.0,0.0,0.0
222.0,0.0,0.0
223.0,0.0,0.0
224.0,0.0,0.0
225.0,0.0,0.0
226.0,0.0,0.0
227.0,0.0,0.0
228.0,0.0,0.0
229.0,0.0023192203641079,0.2037069605441438
230.0,0.0023192203641079,0.2037069605441438
231.0,0.0023192203641079,0.2037069605441438
232.0,0.0,0.0
233.0,0.0,0.0
234.0,0.0023192203641079,0.2037069605441438
235.0,0.0,0.0
236.0,0.0,0.0
237.0,0.1056860786132145,0.0041812030886472
238.0,0.0705849761633796,0.1492551549819936
239.0,0.0705849761633796,0.1492551549819936
240.0,0.0705849761633796,0.1492551549819936
241.0,0.0705849761633796,0.1492551549819936
242.0,0.0705849761633796,0.1492551549819936
243.0,0.0705849761633796,0.1492551549819936
244.0,0.0,0.0
245.0,0.0,0.0
246.0,0.0705849761633796,0.1492551549819936
247.0,0.0,0.0
248.0,0.0705849761633796,0.1492551549819936
249.0,0.0,0.0
250.0,0.0705849761633796,0.1492551549819936
251.0,0.1056860786132145,0.0041812030886472
252.0,0.0705849761633796,0.1492551549819936
253.0,0.0,0.0
254.0,0.0,0.0
255.0,0.0,0.0
256.0,0.0023192203641079,0.2037069605441438
257.0,0.0,0.0
258.0,-0.0060803943720692,-0.0125453001418984
259.0,0.0705849761633796,0.1492551549819936
260.0,0.0705849761633796,0.1492551549819936
261.0,0.0,0.0
262.0,0.0,0.0
263.0,0.0,0.0
264.0,0.0,0.0
265.0,0.0,0.0
266.0,0.0,0.0
267.0,0.0,0.0
268.0,0.0,0.0
269.0,0.0023192203641079,0.2037069605441438
270.0,0.0023192203641079,0.2037069605441438
271.0,0.0023192203641079,0.2037069605441438
272.0,0.0023192203641079,0.2037069605441438
273.0,0.0023192203641079,0.2037069605441438
274.0,0.0705849761633796,0.1492551549819936
275.0,0.0705849761633796,0.1492551549819936
276.0,0.0,0.0
277.0,0.0,0.0
278.0,0.0,0.0
279.0,0.0,0.0
280.0,0.0023192203641079,0.2037069605441438
281.0,0.0023192203641079,0.2037069605441438
282.0,0.0023192203641079,0.2037069605441438
283.0,0.0,0.0
284.0,0.0,0.0
285.0,0.0,0.0
286.0,0.0,0.0
287.0,0.0163707641560961,0.1384228524198039
288.0,0.0,0.0
289.0,0.1105310512977177,-0.0926867872553895
290.0,0.0,0.0
291.0,0.0,0.0
292.0,0.0,0.0
293.0,0.0,0.0
294.0,0.1105310512977177,-0.0926867872553895
295.0,0.0163707641560961,0.1384228524198039
296.0,0.0727590590105659,0.0854148660673592
297.0,0.0202130765808498,0.1091596605248011
298.0,0.0,0.0
299.0,0.0,0.0
300.0,0.0202130765808498,0.1091596605248011
301.0,0.0,0.0
302.0,0.0202130765808498,0.1091596605248011
303.0,0.0163707641560961,0.1384228524198039
304.0,0.0,0.0
305.0,0.0,0.0
306.0,0.0,0.0
307.0,0.0,0.0
308.0,0.0,0.0
309.0,0.0,0.0
310.0,0.0,0.0
311.0,0.0,0.0
312.0,0.0,0.0
313.0,0.0,0.0
314.0,0.0,0.0
315.0,0.0,0.0
316.0,0.0,0.0
317.0,0.0,0.0
318.0,0.0,0.0
319.0,0.0,0.0
320.0,0.0,0.0
321.0,0.0,0.0
322.0,0.0,0.0
323.0,0.0,0.0
324.0,0.0,0.0
325.0,0.0,0.0
326.0,0.0,0.0
327.0,0.0,0.0
328.0,0.0,0.0
329.0,0.0,0.0
330.0,0.0,0.0
331.0,0.0,0.0
332.0,0.0,0.0
333.0,0.1105310512977177,-0.0926867872553895
334.0,0.0,0.0
335.0,0.1105310512977177,-0.0926867872553895
336.0,0.1105310512977177,-0.0926867872553895
337.0,0.1105310512977177,-0.0926867872553895
338.0,0.0192469020664397,-0.0031298750489042
339.0,0.0192469020664397,-0.0031298750489042
340.0,0.1105310512977177,-0.0926867872553895
341.0,0.0192469020664397,-0.0031298750489042
342.0,-0.1175824345297004,-0.1378015120753424
343.0,0.0,0.0
344.0,-0.1175824345297004,-0.1378015120753424
345.0,0.0,0.0
346.0,-0.1175824345297004,-0.1378015120753424
347.0,0.0,0.0
348.0,0.0,0.0
349.0,0.0,0.0
350.0,0.0,0.0
351.0,0.0,0.0
352.0,0.0,0.0
353.0,0.0,0.0
354.0,0.0,0.0
355.0,0.0,0.0
356.0,0.0,0.0
357.0,0.0,0.0
358.0,0.0,0.0
359.0,0.0,0.0
360.0,0.0,0.0
361.0,0.0,0.0
362.0,0.0163707641560961,0.1384228524198039
363.0,0.0163707641560961,0.1384228524198039
364.0,0.0,0.0
365.0,0.0,0.0
366.0,0.0202130765808498,0.1091596605248011
367.0,0.0,0.0
368.0,0.0,0.0
369.0,0.0,0.0
370.0,0.0,0.0
371.0,0.0,0.0
372.0,0.0,0.0
373.0,0.0,0.0
374.0,0.0,0.0
375.0,0.0,0.0
376.0,0.0,0.0
377.0,0.0,0.0
378.0,0.0,0.0
379.0,0.0,0.0
380.0,0.0202130765808498,0.1091596605248011
381.0,0.0,0.0
382.0,0.0163707641560961,0.1384228524198039
383.0,0.0163707641560961,0.1384228524198039
384.0,0.0163707641560961,0.1384228524198039
385.0,0.0163707641560961,0.1384228524198039
386.0,0.0202130765808498,0.1091596605248011
387.0,0.0,0.0
388.0,0.0,0.0
389.0,0.0,0.0
390.0,0.0,0.0
391.0,0.0,0.0
392.0,0.0727590590105659,0.0854148660673592
393.0,0.0,0.0
394.0,0.0202130765808498,0.1091596605248011
395.0,0.0202130765808498,0.1091596605248011
396.0,0.0202130765808498,0.1091596605248011
397.0,0.0,0.0
398.0,0.1105310512977177,-0.0926867872553895
399.0,0.0,0.0
400.0,0.0,0.0
401.0,0.0,0.0
402.0,0.0,0.0
403.0,0.0,0.0
404.0,0.0,0.0
405.0,0.0,0.0
406.0,0.0,0.0
407.0,0.0,0.0
408.0,0.0,0.0
409.0,0.0,0.0
410.0,0.0,0.0
411.0,0.0,0.0
412.0,0.0,0.0
413.0,0.0,0.0
414.0,0.0,0.0
415.0,0.0,0.0
416.0,0.0,0.0
417.0,0.0,0.0
418.0,0.0,0.0
419.0,0.0,0.0
420.0,0.0,0.0
421.0,0.0,0.0
422.0,0.0,0.0
423.0,0.0,0.0
424.0,0.0,0.0
425.0,0.0,0.0
426.0,0.0,0.0
427.0,0.0,0.0
428.0,0.0,0.0
429.0,0.0,0.0
430.0,0.0,0.0
431.0,0.0,0.0
432.0,0.0,0.0
433.0,0.0,0.0
434.0,0.0,0.0
435.0,0.0,0.0
436.0,0.0,0.0
437.0,0.0,0.0
438.0,0.0,0.0
439.0,0.0,0.0
440.0,0.0,0.0
441.0,0.0,0.0
442.0,0.0,0.0
443.0,0.0023192203641079,0.2037069605441438
444.0,0.0023192203641079,0.2037069605441438
445.0,0.0,0.0
446.0,0.0,0.0
447.0,0.0,0.0
448.0,0.0,0.0
449.0,0.0,0.0
450.0,0.0,0.0
451.0,0.0,0.0
452.0,0.0,0.0
453.0,0.0,0.0
454.0,0.0,0.0
455.0,0.0,0.0
456.0,0.0,0.0
457.0,0.0,0.0
458.0,0.0,0.0
459.0,0.0,0.0
460.0,0.0,0.0
461.0,0.0,0.0
462.0,0.0,0.0
463.0,0.0,0.0
464.0,0.0,0.0
465.0,0.0,0.0
466.0,0.0,0.0
467.0,0.0,0.0
468.0,0.0,0.0
469.0,0.0,0.0
470.0,0.0,0.0
471.0,0.0,0.0
472.0,0.0,0.0
473.0,0.0,0.0
474.0,0.0,0.0
475.0,0.0,0.0
476.0,0.0,0.0
477.0,0.0,0.0
478.0,0.0,0.0
479.0,0.0,0.0
480.0,0.0,0.0
481.0,0.0,0.0
482.0,0.0,0.0
483.0,0.0,0.0
484.0,0.0,0.0
485.0,0.0,0.0
486.0,0.0,0.0
487.0,0.0,0.0
488.0,-0.0029553353328846,0.0388362987099967
489.0,0.0,0.0
490.0,-0.0029553353328846,0.0388362987099967
491.0,-0.0029553353328846,0.0388362987099967
492.0,0.0,0.0
493.0,-0.0029553353328846,0.0388362987099967
494.0,0.0,0.0
495.0,0.0,0.0
496.0,0.0,0.0
497.0,0.0,0.0
498.0,0.0,0.0
499.0,0.0758250933192312,-0.2722186512350621
500.0,0.0,0.0
501.0,0.0,0.0
502.0,0.0,0.0
503.0,0.0,0.0
504.0,0.0,0.0
505.0,0.0,0.0
506.0,0.0,0.0
507.0,0.0,0.0
508.0,0.0,0.0
509.0,0.0,0.0
510.0,0.0,0.0
511.0,0.0,0.0
512.0,0.0,0.0
513.0,0.0,0.0
514.0,0.0,0.0
515.0,0.0,0.0
516.0,0.0,0.0
517.0,0.0,0.0
518.0,0.0,0.0
519.0,0.0,0.0
520.0,0.0,0.0
521.0,0.0,0.0
522.0,0.0,0.0
523.0,0.0,0.0
524.0,0.0,0.0
525.0,0.0,0.0
526.0,0.0,0.0
527.0,0.0,0.0
528.0,0.0,0.0
529.0,0.0,0.0
530.0,0.0,0.0
531.0,0.0,0.0
532.0,0.0,0.0
533.0,0.0,0.0
534.0,0.0,0.0
535.0,0.0,0.0
536.0,0.0,0.0
537.0,0.0,0.0
538.0,0.0,0.0
539.0,0.0,0.0
540.0,0.0,0.0
541.0,0.0,0.0
542.0,0.0,0.0
543.0,0.0,0.0
544.0,0.0,0.0
545.0,0.0668568133598882,-0.0052830913196653
546.0,0.0,0.0
547.0,0.0,0.0
548.0,0.0,0.0
549.0,0.075793400031622,0.1739225245172774
550.0,0.0,0.0
551.0,0.0,0.0
552.0,0.0,0.0
553.0,0.0,0.0
554.0,0.0668568133598882,-0.0052830913196653
555.0,0.0,0.0
556.0,0.0,0.0
557.0,0.0,0.0
558.0,0.0,0.0
559.0,0.0,0.0
560.0,0.2481695497701347,0.1196340378080466
561.0,0.0668568133598882,-0.0052830913196653
562.0,0.0,0.0
563.0,0.0,0.0
564.0,0.0,0.0
565.0,0.0,0.0
566.0,0.075793400031622,0.1739225245172774
567.0,-0.0587457382333757,0.0911667320935109
568.0,0.0,0.0
569.0,0.0,0.0
570.0,0.0,0.0
571.0,0.0,0.0
572.0,0.0,0.0
573.0,0.0,0.0
574.0,0.075793400031622,0.1739225245172774
575.0,0.075793400031622,0.1739225245172774
576.0,0.075793400031622,0.1739225245172774
577.0,0.0,0.0
578.0,0.0,0.0
579.0,-0.0587457382333757,0.0911667320935109
580.0,0.0,0.0
581.0,0.0,0.0
582.0,0.092519310097919,0.0535376964144826
583.0,0.0,0.0
584.0,0.075793400031622,0.1739225245172774
585.0,0.075793400031622,0.1739225245172774
586.0,0.0,0.0
587.0,0.0,0.0
588.0,0.0,0.0
589.0,0.0,0.0
590.0,0.0,0.0
591.0,0.0,0.0
592.0,0.0,0.0
593.0,0.0,0.0
594.0,0.0,0.0
595.0,0.0,0.0
596.0,-0.0587457382333757,0.0911667320935109
597.0,0.075793400031622,0.1739225245172774
598.0,0.0668568133598882,-0.0052830913196653
599.0,0.075793400031622,0.1739225245172774
600.0,0.0668568133598882,-0.0052830913196653
601.0,0.0668568133598882,-0.0052830913196653
602.0,0.0668568133598882,-0.0052830913196653
603.0,0.0668568133598882,-0.0052830913196653
604.0,0.2481695497701347,0.1196340378080466
605.0,0.0668568133598882,-0.0052830913196653
606.0,0.2481695497701347,0.1196340378080466
607.0,0.2481695497701347,0.1196340378080466
608.0,0.0,0.0
609.0,0.2481695497701347,0.1196340378080466
610.0,0.092519310097919,0.0535376964144826
611.0,0.2481695497701347,0.1196340378080466
612.0,0.092519310097919,0.0535376964144826
613.0,0.092519310097919,0.0535376964144826
614.0,0.0,0.0
615.0,0.0,0.0
616.0,0.0,0.0
617.0,0.0,0.0
618.0,0.0,0.0
619.0,0.0,0.0
620.0,0.0,0.0
621.0,0.0,0.0
622.0,0.0,0.0
623.0,0.0,0.0
624.0,0.0,0.0
625.0,0.0,0.0
626.0,0.0,0.0
627.0,0.0,0.0
628.0,-0.0587457382333757,0.0911667320935109
629.0,0.0,0.0
630.0,0.0,0.0
631.0,-0.0587457382333757,0.0911667320935109
632.0,-0.0587457382333757,0.0911667320935109
633.0,0.0,0.0
634.0,-0.0587457382333757,0.0911667320935109
635.0,0.0,0.0
636.0,0.0,0.0
637.0,0.0,0.0
638.0,0.0,0.0
639.0,0.0,0.0
640.0,0.0,0.0
641.0,0.0,0.0
642.0,0.0,0.0
643.0,0.0,0.0
644.0,0.0,0.0
645.0,0.0,0.0
646.0,0.0,0.0
647.0,0.0,0.0
648.0,0.0,0.0
649.0,0.0,0.0
650.0,0.0,0.0
651.0,0.0,0.0
652.0,0.0,0.0
653.0,0.0,0.0
654.0,0.0,0.0
655.0,0.0,0.0
656.0,0.0,0.0
657.0,0.0,0.0
658.0,-0.0587457382333757,0.0911667320935109
659.0,0.0,0.0
660.0,-0.0587457382333757,0.0911667320935109
661.0,-0.0587457382333757,0.0911667320935109
662.0,0.075793400031622,0.1739225245172774
663.0,0.0,0.0
664.0,0.075793400031622,0.1739225245172774
665.0,0.0,0.0
666.0,0.0,0.0
667.0,0.0,0.0
668.0,0.0,0.0
669.0,0.0,0.0
670.0,0.0,0.0
671.0,0.0,0.0
672.0,0.0,0.0
673.0,0.0,0.0
674.0,0.0,0.0
675.0,0.0,0.0
676.0,0.0,0.0
677.0,0.0,0.0
678.0,0.0,0.0
679.0,0.0626387532877977,0.0159384310448071
680.0,0.0,0.0
681.0,0.0,0.0
682.0,0.0,0.0
683.0,0.075793400031622,0.1739225245172774
684.0,0.0,0.0
685.0,0.0,0.0
686.0,0.0,0.0
687.0,0.0,0.0
688.0,0.0,0.0
689.0,0.0,0.0
690.0,0.0626387532877977,0.0159384310448071
691.0,0.0171425832321821,0.154616106596798
692.0,0.1344066440915688,0.2290583807388595
693.0,0.1344066440915688,0.2290583807388595
694.0,0.0171425832321821,0.154616106596798
695.0,0.1344066440915688,0.2290583807388595
696.0,0.1344066440915688,0.2290583807388595
697.0,0.1199742632307019,0.1911544457808193
698.0,0.0202130765808498,0.1091596605248011
699.0,0.0626387532877977,0.0159384310448071
700.0,0.0626387532877977,0.0159384310448071
701.0,0.0626387532877977,0.0159384310448071
702.0,0.0,0.0
703.0,0.0,0.0
704.0,0.0,0.0
705.0,0.0,0.0
706.0,0.0,0.0
707.0,0.0171425832321821,0.154616106596798
708.0,0.055826973854953,0.028776580121502
709.0,0.055826973854953,0.028776580121502
710.0,0.0,0.0
711.0,0.0,0.0
712.0,0.0705849761633796,0.1492551549819936
713.0,0.0,0.0
714.0,0.0,0.0
715.0,0.0,0.0
716.0,0.0171425832321821,0.154616106596798
717.0,0.0,0.0
718.0,0.0,0.0
719.0,0.0,0.0
720.0,0.0,0.0
721.0,0.0,0.0
722.0,0.0,0.0
723.0,0.055826973854953,0.028776580121502
724.0,0.0,0.0
725.0,0.0,0.0
726.0,0.0626387532877977,0.0159384310448071
727.0,0.0171425832321821,0.154616106596798
728.0,0.0,0.0
729.0,0.0171425832321821,0.154616106596798
730.0,0.075793400031622,0.1739225245172774
731.0,0.0,0.0
732.0,0.0,0.0
733.0,0.0,0.0
734.0,0.055826973854953,0.028776580121502
735.0,0.0,0.0
736.0,0.0171425832321821,0.154616106596798
737.0,0.0,0.0
738.0,0.0,0.0
739.0,0.0,0.0
740.0,0.0,0.0
741.0,0.0,0.0
742.0,0.075793400031622,0.1739225245172774
743.0,0.0,0.0
744.0,0.075793400031622,0.1739225245172774
745.0,0.0,0.0
746.0,0.0,0.0
747.0,0.0,0.0
748.0,0.0,0.0
749.0,0.0,0.0
750.0,0.0,0.0
751.0,0.0,0.0
752.0,0.0,0.0
753.0,0.0,0.0
754.0,0.0,0.0
755.0,0.0,0.0
756.0,0.0,0.0
757.0,0.0,0.0
758.0,0.0,0.0
759.0,0.0,0.0
760.0,0.0705849761633796,0.1492551549819936
761.0,0.0,0.0
762.0,0.0,0.0
763.0,0.0705849761633796,0.1492551549819936
764.0,0.0705849761633796,0.1492551549819936
765.0,0.0705849761633796,0.1492551549819936
766.0,0.0,0.0
767.0,0.0,0.0
768.0,0.0,0.0
769.0,0.0,0.0
770.0,0.0,0.0
771.0,0.0,0.0
772.0,0.0,0.0
773.0,0.0,0.0
774.0,0.0202130765808498,0.1091596605248011
775.0,0.0,0.0
776.0,0.0202130765808498,0.1091596605248011
777.0,0.0,0.0
778.0,0.0202130765808498,0.1091596605248011
779.0,0.0,0.0
780.0,0.0,0.0
781.0,0.055826973854953,0.028776580121502
782.0,0.0,0.0
783.0,0.0,0.0
784.0,0.0,0.0
785.0,0.0,0.0
786.0,0.0,0.0
787.0,0.0,0.0
788.0,0.0,0.0
789.0,0.0,0.0
790.0,0.0,0.0
791.0,0.0,0.0
792.0,0.0,0.0
793.0,0.0,0.0
794.0,0.0,0.0
795.0,0.0,0.0
796.0,0.0,0.0
797.0,0.0,0.0
798.0,0.0,0.0
799.0,0.0,0.0
800.0,0.0,0.0
801.0,0.0,0.0
802.0,0.0,0.0
803.0,0.0,0.0
804.0,0.0,0.0
805.0,0.0,0.0
806.0,0.0,0.0
807.0,0.0,0.0
808.0,0.0668568133598882,-0.0052830913196653
809.0,0.075793400031622,0.1739225245172774
810.0,0.075793400031622,0.1739225245172774
811.0,0.0668568133598882,-0.0052830913196653
812.0,0.0668568133598882,-0.0052830913196653
813.0,0.0,0.0
814.0,0.2481695497701347,0.1196340378080466
815.0,0.0668568133598882,-0.0052830913196653
816.0,0.0,0.0
817.0,0.2481695497701347,0.1196340378080466
818.0,0.2481695497701347,0.1196340378080466
819.0,0.0,0.0
820.0,0.0,0.0
821.0,0.2481695497701347,0.1196340378080466
822.0,0.0,0.0
823.0,0.092519310097919,0.0535376964144826
824.0,0.092519310097919,0.0535376964144826
825.0,0.0,0.0
826.0,0.0,0.0
827.0,0.0,0.0
828.0,0.0,0.0
829.0,0.0,0.0
830.0,0.0,0.0
831.0,0.0,0.0
832.0,0.0,0.0
833.0,0.0,0.0
834.0,0.0,0.0
835.0,0.0,0.0
836.0,0.0,0.0
837.0,0.0202130765808498,0.1091596605248011
838.0,0.0202130765808498,0.1091596605248011
839.0,0.0,0.0
840.0,0.0,0.0
841.0,0.055826973854953,0.028776580121502
842.0,0.0,0.0
843.0,0.0,0.0
844.0,0.0,0.0
845.0,0.0171425832321821,0.154616106596798
846.0,0.0626387532877977,0.0159384310448071
847.0,0.0,0.0
848.0,0.0,0.0
849.0,0.0,0.0
850.0,0.0,0.0
851.0,0.0,0.0
852.0,0.0,0.0
853.0,0.0,0.0
854.0,0.0,0.0
855.0,0.0,0.0
856.0,0.0,0.0
857.0,0.0626387532877977,0.0159384310448071
858.0,0.0,0.0
859.0,0.0626387532877977,0.0159384310448071
860.0,0.0626387532877977,0.0159384310448071
861.0,0.0626387532877977,0.0159384310448071
862.0,0.055826973854953,0.028776580121502
863.0,0.0,0.0
864.0,0.0,0.0
865.0,0.0,0.0
866.0,0.0,0.0
867.0,0.0,0.0
868.0,0.0,0.0
869.0,0.0,0.0
870.0,0.0,0.0
871.0,0.0,0.0
872.0,0.0,0.0
873.0,0.0,0.0
874.0,0.0,0.0
875.0,0.0,0.0
876.0,0.0,0.0
877.0,0.0,0.0
878.0,0.0,0.0
879.0,0.0,0.0
880.0,0.0,0.0
881.0,0.0626387532877977,0.0159384310448071
882.0,0.0,0.0
883.0,0.0,0.0
884.0,0.0626387532877977,0.0159384310448071
885.0,0.0626387532877977,0.0159384310448071
886.0,0.0626387532877977,0.0159384310448071
887.0,0.0,0.0
888.0,0.0,0.0
889.0,0.0,0.0
890.0,0.0,0.0
891.0,0.0,0.0
892.0,0.0,0.0
893.0,0.0,0.0
894.0,0.0,0.0
895.0,0.0626387532877977,0.0159384310448071
896.0,0.0,0.0
897.0,0.0,0.0
898.0,0.0,0.0
899.0,0.0,0.0
900.0,0.055826973854953,0.028776580121502
901.0,0.0,0.0
902.0,0.0,0.0
903.0,0.0,0.0
904.0,0.1344066440915688,0.2290583807388595
905.0,0.0,0.0
906.0,0.0171425832321821,0.154616106596798
907.0,0.0,0.0
908.0,0.0626387532877977,0.0159384310448071
909.0,0.0626387532877977,0.0159384310448071
910.0,0.0,0.0
911.0,0.1344066440915688,0.2290583807388595
912.0,0.1344066440915688,0.2290583807388595
913.0,0.0171425832321821,0.154616106596798
914.0,0.0171425832321821,0.154616106596798
915.0,0.0171425832321821,0.154616106596798
916.0,0.1344066440915688,0.2290583807388595
917.0,0.1344066440915688,0.2290583807388595
918.0,0.1344066440915688,0.2290583807388595
919.0,0.1344066440915688,0.2290583807388595
920.0,0.0,0.0
921.0,0.0171425832321821,0.154616106596798
922.0,0.0171425832321821,0.154616106596798
923.0,0.1344066440915688,0.2290583807388595
924.0,0.1344066440915688,0.2290583807388595
925.0,0.0,0.0
926.0,0.0171425832321821,0.154616106596798
927.0,0.0171425832321821,0.154616106596798
928.0,0.0171425832321821,0.154616106596798
929.0,0.0171425832321821,0.154616106596798
