n,a,e
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.0,0.0
8.0,0.0,0.0
9.0,0.0,0.0
10.0,0.0,0.0
11.0,0.0,0.0
12.0,0.0,0.0
13.0,0.0,0.0
14.0,-0.1879815737709175,-0.0463624753857063
15.0,0.0,0.0
16.0,0.0,0.0
17.0,0.0,0.0
18.0,0.0,0.0
19.0,0.0,0.0
20.0,0.0,0.0
21.0,0.0,0.0
22.0,0.0,0.0
23.0,0.0,0.0
24.0,0.0,0.0
25.0,0.0827671872360097,-0.0102369386475137
26.0,0.0,0.0
27.0,0.0,0.0
28.0,0.0,0.0
29.0,0.0,0.0
30.0,0.0827671872360097,-0.0102369386475137
31.0,0.0,0.0
32.0,0.0,0.0
33.0,0.0,0.0
34.0,0.0,0.0
35.0,0.0,0.0
36.0,0.0,0.0
37.0,0.0,0.0
38.0,0.0,0.0
39.0,-0.1989894469168173,0.1322892190849907
40.0,0.0,0.0
41.0,0.0,0.0
42.0,0.0,0.0
43.0,0.0,0.0
44.0,0.0,0.0
45.0,0.0,0.0
46.0,0.0,0.0
47.0,0.0,0.0
48.0,-0.2565571460911036,-0.0392840574025671
49.0,0.0,0.0
50.0,0.0,0.0
51.0,0.0,0.0
52.0,-0.2565571460911036,-0.0392840574025671
53.0,0.0,0.0
54.0,0.0,0.0
55.0,0.0,0.0
56.0,0.0,0.0
57.0,0.0,0.0
58.0,0.0,0.0
59.0,0.0,0.0
60.0,0.0,0.0
61.0,0.0,0.0
62.0,0.0,0.0
63.0,0.0,0.0
64.0,0.0,0.0
65.0,0.0,0.0
66.0,0.0,0.0
67.0,0.0,0.0
68.0,0.0,0.0
69.0,0.0,0.0
70.0,0.0,0.0
71.0,0.0,0.0
72.0,0.0,0.0
73.0,0.0,0.0
74.0,0.0,0.0
75.0,0.0,0.0
76.0,0.0,0.0
77.0,-0.1615882194110851,0.0713171757781719
78.0,0.0,0.0
79.0,0.0,0.0
80.0,0.0,0.0
81.0,-0.1615882194110851,0.0713171757781719
82.0,0.0,0.0
83.0,0.0,0.0
84.0,0.183967082622177,-0.0159411460021721
85.0,0.0441294605770747,0.0529396518772017
86.0,-0.011531869292538,-0.0087599322411689
87.0,-0.1177749867840249,-0.0834734474928904
88.0,0.183967082622177,-0.0159411460021721
89.0,0.183967082622177,-0.0159411460021721
90.0,0.0441294605770747,0.0529396518772017
91.0,-0.011531869292538,-0.0087599322411689
92.0,-0.1177749867840249,-0.0834734474928904
93.0,0.1423344387106297,-0.0231186647614328
94.0,0.0,0.0
95.0,0.0,0.0
96.0,0.0,0.0
97.0,0.0827671872360097,-0.0102369386475137
98.0,0.0,0.0
99.0,0.0,0.0
100.0,0.0,0.0
101.0,0.0,0.0
102.0,0.0,0.0
103.0,0.0,0.0
104.0,0.0,0.0
105.0,0.0,0.0
106.0,0.0,0.0
107.0,0.0,0.0
108.0,0.0,0.0
109.0,0.0,0.0
110.0,0.0,0.0
111.0,0.0,0.0
112.0,0.0,0.0
113.0,0.0,0.0
114.0,0.0,0.0
115.0,0.0,0.0
116.0,0.0,0.0
117.0,0.0,0.0
118.0,0.0,0.0
119.0,0.0,0.0
120.0,0.0,0.0
121.0,0.0,0.0
122.0,0.0,0.0
123.0,0.0,0.0
124.0,0.0,0.0
125.0,0.0,0.0
126.0,0.0,0.0
127.0,0.0,0.0
128.0,0.0827671872360097,-0.0102369386475137
129.0,0.0,0.0
130.0,0.0827671872360097,-0.0102369386475137
131.0,0.0,0.0
132.0,0.0827671872360097,-0.0102369386475137
133.0,0.1423344387106297,-0.0231186647614328
134.0,0.0,0.0
135.0,0.1423344387106297,-0.0231186647614328
136.0,0.0,0.0
137.0,0.1423344387106297,-0.0231186647614328
138.0,0.0,0.0
139.0,0.0,0.0
140.0,0.0,0.0
141.0,0.0,0.0
142.0,0.0,0.0
143.0,0.0,0.0
144.0,0.0,0.0
145.0,0.0,0.0
146.0,0.0,0.0
147.0,0.0,0.0
148.0,0.0,0.0
149.0,0.0,0.0
150.0,0.0,0.0
151.0,-0.2565571460911036,-0.0392840574025671
152.0,0.0,0.0
153.0,-0.2565571460911036,-0.0392840574025671
154.0,-0.2565571460911036,-0.0392840574025671
155.0,0.0,0.0
156.0,0.0,0.0
157.0,-0.2565571460911036,-0.0392840574025671
158.0,0.0,0.0
159.0,-0.2565571460911036,-0.0392840574025671
160.0,0.0,0.0
161.0,0.0,0.0
162.0,0.0,0.0
163.0,0.0,0.0
164.0,0.0,0.0
165.0,0.0,0.0
166.0,-0.2565571460911036,-0.0392840574025671
167.0,0.0,0.0
168.0,0.0,0.0
169.0,0.0,0.0
170.0,0.0,0.0
171.0,0.0,0.0
172.0,0.0,0.0
173.0,0.0,0.0
174.0,0.0,0.0
175.0,0.0,0.0
176.0,0.0,0.0
177.0,0.0,0.0
178.0,0.0,0.0
179.0,0.0,0.0
180.0,0.0,0.0
181.0,0.0,0.0
182.0,0.0,0.0
183.0,0.0,0.0
184.0,0.0,0.0
185.0,0.0,0.0
186.0,0.0,0.0
187.0,0.0,0.0
188.0,0.0,0.0
189.0,0.0,0.0
190.0,0.0,0.0
191.0,0.0,0.0
192.0,0.0,0.0
193.0,0.0,0.0
194.0,0.0,0.0
195.0,0.0,0.0
196.0,0.0,0.0
197.0,0.0,0.0
198.0,0.0,0.0
199.0,0.0,0.0
200.0,0.0,0.0
201.0,0.0,0.0
202.0,0.0,0.0
203.0,0.0,0.0
204.0,0.0,0.0
205.0,0.0,0.0
206.0,0.0,0.0
207.0,0.0,0.0
208.0,0.0,0.0
209.0,0.0,0.0
210.0,0.0,0.0
211.0,0.0,0.0
212.0,0.0,0.0
213.0,0.0,0.0
214.0,0.0,0.0
215.0,0.0,0.0
216.0,0.0,0.0
217.0,0.0,0.0
218.0,0.0,0.0
219.0,0.0,0.0
220.0,0.0,0.0
221.0,0.0,0.0
222.0,0.0,0.0
223.0,0.0,0.0
224.0,0.0,0.0
225.0,0.0,0.0
226.0,0.0,0.0
227.0,0.0,0.0
228.0,0.0,0.0
229.0,0.0,0.0
230.0,0.0,0.0
231.0,0.0,0.0
232.0,0.0,0.0
233.0,0.0,0.0
234.0,0.0,0.0
235.0,0.0,0.0
236.0,0.0,0.0
237.0,0.0,0.0
238.0,0.0,0.0
239.0,0.0,0.0
240.0,0.0,0.0
241.0,0.0,0.0
242.0,0.0,0.0
243.0,0.0,0.0
244.0,0.0,0.0
245.0,0.0,0.0
246.0,-0.1957810445485342,0.1794922854744835
247.0,-0.049693597936316,0.1131302594100457
248.0,-0.0505631304436503,0.0353298504514522
249.0,-0.0310654538944272,-0.0267020855145775
250.0,-0.1615882194110851,0.0713171757781719
251.0,0.0,0.0
252.0,0.0,0.0
253.0,-0.2589764764666606,0.0966355909271977
254.0,0.0,0.0
255.0,-0.1957810445485342,0.1794922854744835
256.0,0.183967082622177,-0.0159411460021721
257.0,0.0,0.0
258.0,0.183967082622177,-0.0159411460021721
259.0,0.0,0.0
260.0,0.0,0.0
261.0,0.0,0.0
262.0,-0.2589764764666606,0.0966355909271977
263.0,-0.1177749867840249,-0.0834734474928904
264.0,-0.1177749867840249,-0.0834734474928904
265.0,0.0,0.0
266.0,0.0,0.0
267.0,-0.1957810445485342,0.1794922854744835
268.0,0.0,0.0
269.0,-0.1957810445485342,0.1794922854744835
270.0,-0.0815359865497597,0.0474216982563143
271.0,-0.0815359865497597,0.0474216982563143
272.0,0.0,0.0
273.0,-0.1615882194110851,0.0713171757781719
274.0,-0.1615882194110851,0.0713171757781719
275.0,-0.1615882194110851,0.0713171757781719
276.0,-0.1615882194110851,0.0713171757781719
277.0,-0.1957810445485342,0.1794922854744835
278.0,-0.1615882194110851,0.0713171757781719
279.0,-0.1957810445485342,0.1794922854744835
280.0,0.0451231127086547,0.0166834406255565
281.0,0.183967082622177,-0.0159411460021721
282.0,0.0,0.0
283.0,-0.0310654538944272,-0.0267020855145775
284.0,0.0451231127086547,0.0166834406255565
285.0,-0.049693597936316,0.1131302594100457
286.0,-0.1177749867840249,-0.0834734474928904
287.0,-0.0310654538944272,-0.0267020855145775
288.0,-0.0310654538944272,-0.0267020855145775
289.0,-0.2589764764666606,0.0966355909271977
290.0,-0.1957810445485342,0.1794922854744835
291.0,-0.1957810445485342,0.1794922854744835
292.0,0.0,0.0
293.0,-0.1957810445485342,0.1794922854744835
294.0,-0.049693597936316,0.1131302594100457
295.0,-0.049693597936316,0.1131302594100457
296.0,0.0,0.0
297.0,0.0,0.0
298.0,0.0,0.0
299.0,-0.0981877045757643,-0.122048356397954
300.0,0.0,0.0
301.0,0.0,0.0
302.0,0.0,0.0
303.0,0.0,0.0
304.0,-0.0295901390139146,0.2587721479140988
305.0,-0.2012337201159813,-0.0876442092465693
306.0,0.0,0.0
307.0,0.0,0.0
308.0,-0.0683487911727515,-0.1457645259105247
309.0,0.0,0.0
310.0,0.0,0.0
311.0,0.0,0.0
312.0,-0.0873962578467755,-0.0870753293231821
313.0,0.0,0.0
314.0,-0.0295901390139146,0.2587721479140988
315.0,0.0,0.0
316.0,0.0,0.0
317.0,0.0,0.0
318.0,-0.2012337201159813,-0.0876442092465693
319.0,-0.0683487911727515,-0.1457645259105247
320.0,0.0,0.0
321.0,0.0,0.0
322.0,0.0,0.0
323.0,0.0,0.0
324.0,0.0,0.0
325.0,0.0,0.0
326.0,0.0,0.0
327.0,0.0,0.0
328.0,-0.2565571460911036,-0.0392840574025671
329.0,0.0,0.0
330.0,0.0,0.0
331.0,0.0,0.0
332.0,0.0,0.0
333.0,0.0,0.0
334.0,0.0,0.0
335.0,0.0,0.0
336.0,0.0,0.0
337.0,0.0827671872360097,-0.0102369386475137
338.0,0.0827671872360097,-0.0102369386475137
339.0,0.0,0.0
340.0,0.1423344387106297,-0.0231186647614328
341.0,0.0,0.0
342.0,0.0,0.0
343.0,-0.2565571460911036,-0.0392840574025671
344.0,0.0,0.0
345.0,-0.2012337201159813,-0.0876442092465693
346.0,0.0,0.0
347.0,0.0,0.0
348.0,0.0,0.0
349.0,0.0,0.0
350.0,0.0,0.0
351.0,0.0,0.0
352.0,0.0,0.0
353.0,0.0,0.0
354.0,0.0,0.0
355.0,-0.0683487911727515,-0.1457645259105247
356.0,0.0,0.0
357.0,0.0,0.0
358.0,-0.0683487911727515,-0.1457645259105247
359.0,0.0,0.0
360.0,0.0,0.0
361.0,-0.0981877045757643,-0.122048356397954
362.0,-0.2012337201159813,-0.0876442092465693
363.0,0.0,0.0
364.0,0.0,0.0
365.0,0.0,0.0
366.0,-0.1615882194110851,0.0713171757781719
367.0,-0.1615882194110851,0.0713171757781719
368.0,0.0,0.0
369.0,0.0,0.0
370.0,0.0,0.0
371.0,0.0,0.0
372.0,0.0,0.0
373.0,0.0,0.0
374.0,0.0,0.0
375.0,0.0,0.0
376.0,0.0,0.0
377.0,0.0,0.0
378.0,0.0,0.0
379.0,0.0,0.0
380.0,-0.0683487911727515,-0.1457645259105247
381.0,-0.0981877045757643,-0.122048356397954
382.0,-0.0981877045757643,-0.122048356397954
383.0,-0.0683487911727515,-0.1457645259105247
384.0,-0.0981877045757643,-0.122048356397954
385.0,-0.0873962578467755,-0.0870753293231821
386.0,0.0,0.0
387.0,0.0,0.0
388.0,0.0,0.0
389.0,0.0,0.0
390.0,0.0,0.0
391.0,0.0,0.0
392.0,0.0,0.0
393.0,0.0,0.0
394.0,0.0,0.0
395.0,0.0,0.0
396.0,0.0,0.0
397.0,-0.0295901390139146,0.2587721479140988
398.0,-0.0683487911727515,-0.1457645259105247
399.0,-0.0683487911727515,-0.1457645259105247
400.0,-0.0683487911727515,-0.1457645259105247
401.0,-0.0295901390139146,0.2587721479140988
402.0,-0.0295901390139146,0.2587721479140988
403.0,-0.0295901390139146,0.2587721479140988
404.0,0.0,0.0
405.0,0.0,0.0
406.0,-0.2012337201159813,-0.0876442092465693
407.0,-0.2516171052072554,-0.1748413007362196
408.0,0.0,0.0
409.0,0.0,0.0
410.0,0.0,0.0
411.0,0.0,0.0
412.0,0.0,0.0
413.0,-0.1589793320902311,-0.0039692103333339
414.0,0.0,0.0
415.0,-0.054726260801348,-0.0463624755857063
416.0,0.0,0.0
417.0,-0.1403367510588294,0.0879046338920846
418.0,0.0,0.0
419.0,-0.2660005255443234,-0.0775860866767192
420.0,0.0,0.0
421.0,0.0799195418929691,0.1776370570027098
422.0,-0.1589793320902311,-0.0039692103333339
423.0,0.0,0.0
424.0,-0.4213372549016679,-0.2114715921212993
425.0,-0.2623558055603429,-0.0967067763764289
426.0,0.0,0.0
427.0,-0.1403367510588294,0.0879046338920846
428.0,0.0799195418929691,0.1776370570027098
429.0,0.0,0.0
430.0,0.0,0.0
431.0,0.0,0.0
432.0,0.0,0.0
433.0,0.0,0.0
434.0,0.0,0.0
435.0,0.0799195418929691,0.1776370570027098
436.0,0.0,0.0
437.0,0.0,0.0
438.0,0.183967082622177,-0.0159411460021721
439.0,0.183967082622177,-0.0159411460021721
440.0,0.0,0.0
441.0,0.0,0.0
442.0,0.0,0.0
443.0,0.0,0.0
444.0,-0.1989894469168173,0.1322892190849907
445.0,0.0,0.0
446.0,0.0,0.0
447.0,0.0,0.0
448.0,0.0799195418929691,0.1776370570027098
449.0,0.0,0.0
450.0,0.0,0.0
451.0,0.0,0.0
452.0,-0.1879815737709175,-0.0463624753857063
453.0,0.0,0.0
454.0,0.0,0.0
455.0,0.0688824604345858,0.0015617636605655
456.0,0.0,0.0
457.0,0.0,0.0
458.0,0.0,0.0
459.0,-0.2660005255443234,-0.0775860866767192
460.0,0.0,0.0
461.0,0.0,0.0
462.0,-0.2660005255443234,-0.0775860866767192
463.0,-0.2660005255443234,-0.0775860866767192
464.0,-0.2660005255443234,-0.0775860866767192
465.0,-0.1989894469168173,0.1322892190849907
466.0,0.0,0.0
467.0,0.0,0.0
468.0,0.0799195418929691,0.1776370570027098
469.0,0.0,0.0
470.0,0.0,0.0
471.0,0.0,0.0
472.0,0.0,0.0
473.0,0.0,0.0
474.0,0.0,0.0
475.0,0.0,0.0
476.0,0.183967082622177,-0.0159411460021721
477.0,0.0441294605770747,0.0529396518772017
478.0,0.0,0.0
479.0,0.0441294605770747,0.0529396518772017
480.0,-0.011531869292538,-0.0087599322411689
481.0,-0.1589793320902311,-0.0039692103333339
482.0,-0.011531869292538,-0.0087599322411689
483.0,-0.011531869292538,-0.0087599322411689
484.0,-0.011531869292538,-0.0087599322411689
