n,a,e
1.0,0.0,0.0
2.0,0.0,0.0
3.0,-0.1868188647893428,0.4542631244586033
4.0,0.0,0.0
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.0,0.0
8.0,0.0,0.0
9.0,0.0,0.0
10.0,0.0,0.0
11.0,0.0,0.0
12.0,0.0,0.0
13.0,0.0,0.0
14.0,0.0,0.0
15.0,0.0,0.0
16.0,0.0,0.0
17.0,0.1237323017191282,-0.1397271460850671
18.0,0.0,0.0
19.0,0.0,0.0
20.0,0.0,0.0
21.0,0.0,0.0
22.0,0.1237323017191282,-0.1397271460850671
23.0,0.0,0.0
24.0,0.1237323017191282,-0.1397271460850671
25.0,0.0,0.0
26.0,0.1237323017191282,-0.1397271460850671
27.0,0.1237323017191282,-0.1397271460850671
28.0,0.0,0.0
29.0,0.0,0.0
30.0,0.0,0.0
31.0,0.0,0.0
32.0,0.0,0.0
33.0,0.0,0.0
34.0,0.0,0.0
35.0,0.0,0.0
36.0,0.0,0.0
37.0,0.0,0.0
38.0,0.0,0.0
39.0,0.0,0.0
40.0,0.0,0.0
41.0,0.0,0.0
42.0,0.0,0.0
43.0,-0.0452153139111594,0.0031786542475755
44.0,0.0,0.0
45.0,0.0,0.0
46.0,0.0,0.0
47.0,0.0,0.0
48.0,0.0,0.0
49.0,0.0,0.0
50.0,0.0,0.0
51.0,0.0,0.0
52.0,0.0,0.0
53.0,0.0,0.0
54.0,0.0,0.0
55.0,0.0,0.0
56.0,0.0,0.0
57.0,0.0,0.0
58.0,0.0,0.0
59.0,0.0,0.0
60.0,0.0,0.0
61.0,0.0,0.0
62.0,0.0,0.0
63.0,0.0,0.0
64.0,0.0,0.0
65.0,0.0,0.0
66.0,0.0,0.0
67.0,0.1390622868614659,-0.0589294258630255
68.0,0.0,0.0
69.0,0.0,0.0
70.0,0.0,0.0
71.0,0.1390622868614659,-0.0589294258630255
72.0,0.1390622868614659,-0.0589294258630255
73.0,0.0,0.0
74.0,0.0,0.0
75.0,0.0,0.0
76.0,0.0,0.0
77.0,0.0,0.0
78.0,0.0,0.0
79.0,0.0,0.0
80.0,0.0,0.0
81.0,0.0,0.0
82.0,0.0,0.0
83.0,0.0502495793091116,0.0620452813875064
84.0,0.0,0.0
85.0,0.0,0.0
86.0,0.0,0.0
87.0,0.0502495793091116,0.0620452813875064
88.0,0.0502495793091116,0.0620452813875064
89.0,0.0,0.0
90.0,0.0,0.0
91.0,0.0,0.0
92.0,0.0,0.0
93.0,0.0,0.0
94.0,0.0465935868901275,0.082701434524446
95.0,0.0430251897711934,0.0299538744985756
96.0,-0.1868188647893428,0.4542631244586033
97.0,0.0,0.0
98.0,0.0465935868901275,0.082701434524446
99.0,0.0430251897711934,0.0299538744985756
100.0,0.0430251897711934,0.0299538744985756
101.0,0.1237323017191282,-0.1397271460850671
102.0,-0.088610206374334,-0.0342250659477714
103.0,0.0,0.0
104.0,0.0,0.0
105.0,0.0,0.0
106.0,0.0,0.0
107.0,0.0,0.0
108.0,0.0,0.0
109.0,0.1237323017191282,-0.1397271460850671
110.0,0.0,0.0
111.0,-0.088610206374334,-0.0342250659477714
112.0,0.1425051945872217,0.0737609648615584
113.0,0.0,0.0
114.0,-0.088610206374334,-0.0342250659477714
115.0,0.0,0.0
116.0,-0.088610206374334,-0.0342250659477714
117.0,0.0,0.0
118.0,0.0,0.0
119.0,0.1237323017191282,-0.1397271460850671
120.0,0.1237323017191282,-0.1397271460850671
121.0,0.1237323017191282,-0.1397271460850671
122.0,0.0,0.0
123.0,0.1425051945872217,0.0737609648615584
124.0,0.0,0.0
125.0,-0.088610206374334,-0.0342250659477714
126.0,-0.088610206374334,-0.0342250659477714
127.0,-0.088610206374334,-0.0342250659477714
128.0,-0.088610206374334,-0.0342250659477714
129.0,0.0,0.0
130.0,0.0,0.0
131.0,0.0,0.0
132.0,0.0,0.0
133.0,0.0,0.0
134.0,0.0,0.0
135.0,0.1237323017191282,-0.1397271460850671
136.0,0.0,0.0
137.0,0.0,0.0
138.0,0.1237323017191282,-0.1397271460850671
139.0,0.1425051945872217,0.0737609648615584
140.0,0.1237323017191282,-0.1397271460850671
141.0,0.1425051945872217,0.0737609648615584
142.0,0.1237323017191282,-0.1397271460850671
143.0,0.0,0.0
144.0,0.0,0.0
145.0,-0.088610206374334,-0.0342250659477714
146.0,0.0,0.0
147.0,0.0,0.0
148.0,0.0,0.0
149.0,0.0,0.0
150.0,0.0,0.0
151.0,0.0,0.0
152.0,0.0,0.0
153.0,0.0,0.0
154.0,0.0,0.0
155.0,0.0,0.0
156.0,0.0,0.0
157.0,0.0,0.0
158.0,0.0,0.0
159.0,0.0,0.0
160.0,0.0,0.0
161.0,0.0,0.0
162.0,0.0,0.0
163.0,0.0,0.0
164.0,0.0,0.0
165.0,0.0,0.0
166.0,0.0709476995664808,-0.0463624755857063
167.0,0.0,0.0
168.0,0.0,0.0
169.0,0.0,0.0
170.0,0.0,0.0
171.0,0.0,0.0
172.0,0.0,0.0
173.0,0.0,0.0
174.0,0.0,0.0
175.0,0.0,0.0
176.0,0.0,0.0
177.0,0.0,0.0
178.0,0.0,0.0
179.0,0.0,0.0
180.0,0.0,0.0
181.0,0.0,0.0
182.0,0.0,0.0
183.0,0.0,0.0
184.0,0.0,0.0
185.0,0.0,0.0
186.0,0.0,0.0
187.0,0.0,0.0
188.0,0.0,0.0
189.0,0.0,0.0
190.0,0.0,0.0
191.0,-0.0452153139111594,0.0031786542475755
192.0,0.0,0.0
193.0,0.0,0.0
194.0,0.0,0.0
195.0,-0.0153369270838244,-0.235943085192884
196.0,0.0,0.0
197.0,0.0,0.0
198.0,0.0,0.0
199.0,0.0,0.0
200.0,0.0,0.0
201.0,0.0,0.0
202.0,0.0,0.0
203.0,0.0,0.0
204.0,0.0,0.0
205.0,0.0,0.0
206.0,0.0,0.0
207.0,0.0,0.0
208.0,0.0,0.0
209.0,-0.0153369270838244,-0.235943085192884
210.0,0.0,0.0
211.0,0.0,0.0
212.0,0.0,0.0
213.0,0.0,0.0
214.0,0.0,0.0
215.0,0.0,0.0
216.0,0.0,0.0
217.0,0.0709476995664808,-0.0463624755857063
218.0,0.0,0.0
219.0,0.0709476995664808,-0.0463624755857063
220.0,0.0,0.0
221.0,0.0,0.0
222.0,-0.0153369270838244,-0.235943085192884
223.0,0.0,0.0
224.0,0.0,0.0
225.0,0.0,0.0
226.0,0.0,0.0
227.0,0.0,0.0
228.0,0.0,0.0
229.0,0.0,0.0
230.0,0.0,0.0
231.0,0.0,0.0
232.0,0.0,0.0
233.0,0.0,0.0
234.0,0.0,0.0
235.0,0.0,0.0
236.0,0.0,0.0
237.0,0.0,0.0
238.0,0.0,0.0
239.0,0.0,0.0
240.0,0.0,0.0
241.0,0.0,0.0
242.0,0.0,0.0
243.0,0.0,0.0
244.0,0.0,0.0
245.0,0.0,0.0
246.0,0.0,0.0
247.0,0.0,0.0
248.0,0.0,0.0
249.0,0.0,0.0
250.0,0.0,0.0
251.0,0.0,0.0
252.0,0.0,0.0
253.0,0.0,0.0
254.0,0.0,0.0
255.0,0.0,0.0
256.0,0.0,0.0
257.0,0.0,0.0
258.0,0.0,0.0
259.0,0.0,0.0
260.0,0.0,0.0
261.0,0.0,0.0
262.0,0.0,0.0
263.0,0.0,0.0
264.0,0.0,0.0
265.0,0.0,0.0
266.0,0.0,0.0
267.0,0.0,0.0
268.0,0.0,0.0
269.0,0.0,0.0
270.0,0.0,0.0
271.0,0.0,0.0
272.0,0.0,0.0
273.0,0.0,0.0
274.0,0.0,0.0
275.0,0.0,0.0
276.0,0.0,0.0
277.0,0.0,0.0
278.0,0.0,0.0
279.0,0.0,0.0
280.0,0.0,0.0
281.0,0.0,0.0
282.0,0.0,0.0
283.0,0.0,0.0
284.0,0.1237323017191282,-0.1397271460850671
285.0,0.0023192203641079,0.2037069605441438
286.0,0.0014673520937542,0.1552573724021747
287.0,0.0023192203641079,0.2037069605441438
288.0,0.0850373251241291,0.0735426717681652
289.0,0.0023192203641079,0.2037069605441438
290.0,0.0882533837198602,-0.12398992318206
291.0,0.0754352597491291,0.1575237478017446
292.0,0.1237323017191282,-0.1397271460850671
293.0,0.0023192203641079,0.2037069605441438
294.0,0.0023192203641079,0.2037069605441438
295.0,0.0850373251241291,0.0735426717681652
296.0,0.1237323017191282,-0.1397271460850671
297.0,0.1237323017191282,-0.1397271460850671
298.0,0.1237323017191282,-0.1397271460850671
299.0,0.0,0.0
300.0,0.0,0.0
301.0,0.0502495793091116,0.0620452813875064
302.0,0.0023192203641079,0.2037069605441438
303.0,0.0023192203641079,0.2037069605441438
304.0,0.0023192203641079,0.2037069605441438
305.0,0.0,0.0
306.0,0.0,0.0
307.0,0.0023192203641079,0.2037069605441438
308.0,0.1237323017191282,-0.1397271460850671
309.0,0.1425051945872217,0.0737609648615584
310.0,0.0,0.0
311.0,0.1237323017191282,-0.1397271460850671
312.0,0.0,0.0
313.0,0.0,0.0
314.0,0.0023192203641079,0.2037069605441438
315.0,0.0023192203641079,0.2037069605441438
316.0,0.0502495793091116,0.0620452813875064
317.0,0.0850373251241291,0.0735426717681652
318.0,0.0850373251241291,0.0735426717681652
319.0,0.0,0.0
320.0,0.0,0.0
321.0,0.0014673520937542,0.1552573724021747
322.0,0.0023192203641079,0.2037069605441438
323.0,0.0023192203641079,0.2037069605441438
324.0,0.0014673520937542,0.1552573724021747
325.0,0.0023192203641079,0.2037069605441438
326.0,0.0882533837198602,-0.12398992318206
327.0,0.0882533837198602,-0.12398992318206
328.0,0.0882533837198602,-0.12398992318206
329.0,0.0754352597491291,0.1575237478017446
330.0,0.0754352597491291,0.1575237478017446
331.0,0.0882533837198602,-0.12398992318206
332.0,0.0023192203641079,0.2037069605441438
333.0,0.0754352597491291,0.1575237478017446
334.0,0.0754352597491291,0.1575237478017446
335.0,0.0023192203641079,0.2037069605441438
336.0,0.0882533837198602,-0.12398992318206
337.0,0.026296204255221,0.1920844571008076
338.0,0.026296204255221,0.1920844571008076
339.0,0.0023192203641079,0.2037069605441438
340.0,0.0023192203641079,0.2037069605441438
341.0,0.0023192203641079,0.2037069605441438
342.0,0.0014673520937542,0.1552573724021747
343.0,0.0754352597491291,0.1575237478017446
344.0,0.026296204255221,0.1920844571008076
345.0,0.0,0.0
346.0,0.0,0.0
347.0,0.1390622868614659,-0.0589294258630255
348.0,0.0,0.0
349.0,0.2411120787742497,0.1211902691134896
350.0,0.2725414139017388,0.2808541358633548
351.0,0.0,0.0
352.0,0.0,0.0
353.0,0.0,0.0
354.0,0.0,0.0
355.0,0.0,0.0
356.0,0.2411120787742497,0.1211902691134896
357.0,0.0,0.0
358.0,0.0,0.0
359.0,0.0,0.0
360.0,0.0,0.0
361.0,0.0,0.0
362.0,0.0,0.0
363.0,0.0,0.0
364.0,0.0,0.0
365.0,0.0,0.0
366.0,0.0,0.0
367.0,0.2725414139017388,0.2808541358633548
368.0,0.0,0.0
369.0,0.0,0.0
370.0,0.0,0.0
371.0,0.0,0.0
372.0,0.0,0.0
373.0,0.0,0.0
374.0,0.0502495793091116,0.0620452813875064
375.0,0.0,0.0
376.0,0.0,0.0
377.0,0.0,0.0
378.0,0.0,0.0
379.0,0.0,0.0
380.0,0.0,0.0
381.0,0.0,0.0
382.0,0.2411120787742497,0.1211902691134896
383.0,0.2411120787742497,0.1211902691134896
384.0,0.0,0.0
385.0,0.0,0.0
386.0,0.0,0.0
387.0,0.0,0.0
388.0,0.0,0.0
389.0,0.0,0.0
390.0,0.0,0.0
391.0,0.0,0.0
392.0,0.0,0.0
393.0,0.0,0.0
394.0,0.0,0.0
395.0,0.0,0.0
396.0,0.0,0.0
397.0,0.0,0.0
398.0,0.0,0.0
399.0,0.0,0.0
400.0,0.0,0.0
401.0,0.2411120787742497,0.1211902691134896
402.0,0.0,0.0
403.0,0.0,0.0
404.0,0.1390622868614659,-0.0589294258630255
405.0,0.1390622868614659,-0.0589294258630255
406.0,0.1390622868614659,-0.0589294258630255
407.0,0.1390622868614659,-0.0589294258630255
408.0,0.0,0.0
409.0,0.1390622868614659,-0.0589294258630255
410.0,0.0,0.0
411.0,0.0,0.0
412.0,0.0,0.0
413.0,0.0,0.0
414.0,0.0,0.0
415.0,0.0,0.0
416.0,0.0,0.0
417.0,0.0,0.0
418.0,0.0,0.0
419.0,0.0,0.0
420.0,0.0,0.0
421.0,0.0,0.0
422.0,0.0,0.0
423.0,0.0,0.0
424.0,0.0,0.0
425.0,0.0,0.0
426.0,0.0,0.0
427.0,0.0,0.0
428.0,0.0,0.0
429.0,0.0,0.0
430.0,0.0,0.0
431.0,0.0,0.0
432.0,0.0,0.0
433.0,0.0,0.0
434.0,0.0,0.0
435.0,0.0,0.0
436.0,0.0,0.0
437.0,0.0,0.0
438.0,0.0,0.0
439.0,0.0,0.0
440.0,0.2411120787742497,0.1211902691134896
441.0,0.0,0.0
442.0,0.0,0.0
443.0,0.0,0.0
444.0,0.2725414139017388,0.2808541358633548
445.0,0.0,0.0
446.0,0.0,0.0
447.0,0.0,0.0
448.0,0.0,0.0
449.0,0.0,0.0
450.0,0.0,0.0
451.0,0.0,0.0
452.0,0.0,0.0
453.0,0.0,0.0
454.0,0.0,0.0
455.0,0.0,0.0
456.0,0.0,0.0
457.0,0.0,0.0
458.0,-0.0273770213478944,-0.0177000503829776
459.0,0.2458517259271317,0.0856150741004618
460.0,0.0,0.0
461.0,0.0,0.0
462.0,0.0,0.0
463.0,0.0,0.0
464.0,0.0,0.0
465.0,0.0,0.0
466.0,0.1237323017191282,-0.1397271460850671
467.0,0.2458517259271317,0.0856150741004618
468.0,0.0,0.0
469.0,0.3251987824819569,-0.2491419320048419
470.0,-0.0273770213478944,-0.0177000503829776
471.0,-0.0452153139111594,0.0031786542475755
472.0,-0.0878951679972377,-0.0982374591938817
473.0,0.1119147199468082,0.0076156004287963
474.0,0.0,0.0
475.0,0.0,0.0
476.0,0.0,0.0
477.0,0.0,0.0
478.0,0.1237323017191282,-0.1397271460850671
479.0,-0.0732107710560434,-0.0341201494292097
480.0,0.1390622868614659,-0.0589294258630255
481.0,0.0,0.0
482.0,0.0,0.0
483.0,0.0,0.0
484.0,0.0,0.0
485.0,0.1237323017191282,-0.1397271460850671
486.0,0.1237323017191282,-0.1397271460850671
487.0,0.1237323017191282,-0.1397271460850671
488.0,0.0,0.0
489.0,0.0,0.0
490.0,0.0,0.0
491.0,0.0023192203641079,0.2037069605441438
492.0,0.0023192203641079,0.2037069605441438
493.0,0.0023192203641079,0.2037069605441438
